hora_local,alt_sol_deg,az_sol_deg,x_east_m,y_north_m,lon,lat,dist_plaza_m,rumbo_deg
06:11:30,2.088376,113.717210,-16649.771503,7702.532855,-74.226328,4.667331,18345.132965,294.826249
06:12:00,2.202406,113.729108,-15659.272051,7271.861318,-74.217392,4.663457,17265.363251,294.909239
06:12:30,2.316425,113.741107,-14766.308353,6883.634341,-74.209335,4.659966,16291.969927,294.993599
06:13:00,2.430434,113.753206,-13957.142380,6531.873565,-74.202035,4.656803,15409.970658,295.079361
06:13:30,2.544432,113.765407,-13220.500426,6211.673026,-74.195389,4.653923,14607.070661,295.166559
06:14:00,2.658420,113.777709,-12547.044261,5918.969017,-74.189313,4.651291,13873.085955,295.255225
06:14:30,2.772396,113.790112,-11928.972868,5650.366782,-74.183736,4.648875,13199.509023,295.345394
06:15:00,2.886362,113.802616,-11359.718639,5403.008301,-74.178600,4.646650,12579.177487,295.437102
06:15:30,3.000317,113.815222,-10833.712874,5174.470252,-74.173855,4.644595,12006.018368,295.530385
06:16:00,3.114261,113.827929,-10346.202829,4962.684390,-74.169456,4.642690,11474.848554,295.625282
06:16:30,3.228193,113.840739,-9893.107546,4765.874810,-74.165368,4.640921,10981.217584,295.721832
06:17:00,3.342114,113.853650,-9470.903213,4582.508060,-74.161559,4.639271,10521.282611,295.820075
06:17:30,3.456024,113.866663,-9076.531219,4411.253129,-74.158001,4.637731,10091.708137,295.920053
06:18:00,3.569922,113.879778,-8707.323843,4250.949108,-74.154670,4.636290,9689.584967,296.021809
06:18:30,3.683809,113.892996,-8360.943742,4100.578860,-74.151545,4.634937,9312.364214,296.125387
06:19:00,3.797684,113.906316,-8035.334341,3959.247428,-74.148607,4.633666,8957.803200,296.230834
06:19:30,3.911548,113.919738,-7728.678905,3826.164227,-74.145840,4.632470,8623.920820,296.338198
06:20:00,4.025399,113.933263,-7439.366568,3700.628259,-74.143230,4.631341,8308.960491,296.447526
06:20:30,4.139238,113.946891,-7165.963971,3582.015772,-74.140763,4.630274,8011.359225,296.558871
06:21:00,4.253066,113.960622,-6907.191475,3469.769907,-74.138428,4.629264,7729.721682,296.672284
06:21:30,4.366881,113.974456,-6661.903084,3363.391964,-74.136215,4.628308,7462.798282,296.787820
06:22:00,4.480684,113.988393,-6429.069446,3262.434003,-74.134115,4.627400,7209.466662,296.905535
06:22:30,4.594475,114.002433,-6207.763381,3166.492543,-74.132118,4.626537,6968.715894,297.025487
06:23:00,4.708253,114.016577,-5997.147510,3075.203185,-74.130218,4.625716,6739.632993,297.147737
06:23:30,4.822019,114.030825,-5796.463641,2988.235988,-74.128407,4.624934,6521.391344,297.272347
06:24:00,4.935772,114.045176,-5605.023623,2905.291491,-74.126680,4.624188,6313.240726,297.399381
06:24:30,5.049512,114.059632,-5422.201443,2826.097274,-74.125030,4.623476,6114.498695,297.528907
06:25:00,5.163239,114.074191,-5247.426365,2750.404971,-74.123454,4.622795,5924.543102,297.660994
06:25:30,5.276954,114.088855,-5080.176963,2677.987674,-74.121945,4.622144,5742.805582,297.795713
06:26:00,5.390655,114.103623,-4919.975904,2608.637665,-74.120499,4.621520,5568.765874,297.933139
06:26:30,5.504343,114.118496,-4766.385390,2542.164427,-74.119114,4.620922,5401.946840,298.073350
06:27:00,5.618018,114.133474,-4619.003143,2478.392903,-74.117784,4.620349,5241.910092,298.216426
06:27:30,5.731680,114.148557,-4477.458875,2417.161956,-74.116507,4.619798,5088.252146,298.362449
06:28:00,5.845328,114.163744,-4341.411172,2358.323015,-74.115279,4.619269,4940.601017,298.511507
06:28:30,5.958963,114.179038,-4210.544733,2301.738870,-74.114099,4.618760,4798.613213,298.663689
06:29:00,6.072584,114.194436,-4084.567917,2247.282610,-74.112962,4.618270,4661.971063,298.819088
06:29:30,6.186191,114.209940,-3963.210569,2194.836673,-74.111867,4.617799,4530.380341,298.977802
06:30:00,6.299784,114.225550,-3846.222075,2144.292000,-74.110812,4.617344,4403.568148,299.139930
06:30:30,6.413364,114.241266,-3733.369627,2095.547281,-74.109793,4.616906,4281.281021,299.305578
06:31:00,6.526929,114.257088,-3624.436669,2048.508278,-74.108811,4.616483,4163.283240,299.474854
06:31:30,6.640480,114.273017,-3519.221503,2003.087221,-74.107861,4.616074,4049.355307,299.647872
06:32:00,6.754017,114.289051,-3417.536035,1959.202257,-74.106944,4.615680,3939.292581,299.824749
06:32:30,6.867539,114.305193,-3319.204652,1916.776966,-74.106057,4.615298,3832.904050,300.005609
06:33:00,6.981048,114.321442,-3224.063196,1875.739912,-74.105198,4.614929,3730.011221,300.190578
06:33:30,7.094541,114.337797,-3131.958052,1836.024247,-74.104367,4.614572,3630.447118,300.379791
06:34:00,7.208020,114.354260,-3042.745310,1797.567348,-74.103562,4.614226,3534.055375,300.573385
06:34:30,7.321484,114.370831,-2956.290016,1760.310488,-74.102782,4.613891,3440.689418,300.771506
06:35:00,7.434933,114.387509,-2872.465478,1724.198535,-74.102026,4.613566,3350.211711,300.974304
06:35:30,7.548367,114.404295,-2791.152651,1689.179685,-74.101292,4.613251,3262.493085,301.181937
06:36:00,7.661786,114.421189,-2712.239565,1655.205213,-74.100581,4.612946,3177.412116,301.394569
06:36:30,7.775189,114.438192,-2635.620806,1622.229247,-74.099889,4.612649,3094.854562,301.612370
06:37:00,7.888578,114.455303,-2561.197046,1590.208565,-74.099218,4.612361,3014.712853,301.835521
06:37:30,8.001951,114.472522,-2488.874608,1559.102401,-74.098565,4.612081,2936.885614,302.064209
