hora_local,alt_sol_deg,az_sol_deg,x_east_m,y_north_m,lon,lat,dist_plaza_m,rumbo_deg
05:59:00,2.028106,66.644345,-12017.502563,-5337.910865,-74.184535,4.550055,13149.663884,246.050258
05:59:30,2.142480,66.652564,-11253.719296,-5005.788251,-74.177644,4.553042,12316.822399,246.019933
06:00:00,2.256862,66.660686,-10567.266876,-4707.318701,-74.171451,4.555726,11568.317881,245.988832
06:00:30,2.371251,66.668709,-9946.961297,-4437.635126,-74.165854,4.558151,10891.953202,245.956929
06:01:00,2.485646,66.676635,-9383.676017,-4192.765811,-74.160772,4.560354,10277.775087,245.924199
06:01:30,2.600048,66.684462,-8869.889641,-3969.437572,-74.156136,4.562362,9717.580814,245.890612
06:02:00,2.714457,66.692192,-8399.347895,-3764.928657,-74.151891,4.564201,9204.549573,245.856141
06:02:30,2.828872,66.699823,-7966.807572,-3576.957311,-74.147989,4.565892,8732.963214,245.820753
06:03:00,2.943295,66.707357,-7567.840158,-3403.596322,-74.144389,4.567451,8297.992081,245.784418
06:03:30,3.057723,66.714793,-7198.679516,-3243.206729,-74.141058,4.568893,7895.528903,245.747102
06:04:00,3.172158,66.722131,-6856.102505,-3094.385879,-74.137967,4.570232,7522.058596,245.708769
06:04:30,3.286599,66.729371,-6537.334528,-2955.926313,-74.135091,4.571477,7174.555255,245.669383
06:05:00,3.401046,66.736513,-6239.974128,-2826.782960,-74.132409,4.572638,6850.399916,245.628905
06:05:30,3.515500,66.743558,-5961.932299,-2706.046720,-74.129900,4.573724,6547.314380,245.587294
06:06:00,3.629959,66.750505,-5701.383277,-2592.923051,-74.127549,4.574741,6263.307530,245.544509
06:06:30,3.744424,66.757354,-5456.724334,-2486.714476,-74.125342,4.575696,5996.631499,245.500505
06:07:00,3.858896,66.764105,-5226.542735,-2386.806195,-74.123265,4.576595,5745.745624,245.455234
06:07:30,3.973373,66.770759,-5009.588393,-2292.654193,-74.121308,4.577442,5509.286625,245.408647
